classe,codigos,cnpj,empresa,pasta,qtd_codigos,qtd_arquivos
COM_PENDENCIA,81;82;90;98;711;712;713,21.051.983,JPG - PRODUTOS FUNCIONAIS E NUTRICIONAIS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\21051983-JPG_-_PRODUTOS_FUNCIONAIS_E_NUTRICIONAIS_LTDA,7,8
COM_PENDENCIA,14;75;79;104,40.994.045,DT TINTAS COMERCIO VAREJISTA LIMITADA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\40994045-DT_TINTAS_COMERCIO_VAREJISTA_LIMITADA,4,7
COM_PENDENCIA,03;04;25,26.148.733,I. M. DAMASCENO MEDICA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\26148733-I._M._DAMASCENO_MEDICA,3,5
COM_PENDENCIA,12;184;190,28.367.143,MERCADO RPG MINIATURAS E ACESSORIOS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\28367143-MERCADO_RPG_MINIATURAS_E_ACESSORIOS_LTDA,3,4
COM_PENDENCIA,67;68;69,72.628.407,MERCADO DAS TINTAS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\72628407-MERCADO_DAS_TINTAS_LTDA,3,5
SEM_PENDENCIA,121;127,02.544.225,SUPER ARMAZEM 2 GRS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\SEM_PENDENCIA\02544225-SUPER_ARMAZEM_2_GRS_LTDA,2,2
COM_PENDENCIA,37;61,03.185.564,EGAPLAST - ARTEFATOS E COMERCIO DE PLASTICOS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\03185564-EGAPLAST_-_ARTEFATOS_E_COMERCIO_DE_PLASTICOS_LTDA,2,3
SEM_PENDENCIA,56;92,04.744.446,ETICA COMERCIO VAREJISTA DE TINTAS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\SEM_PENDENCIA\04744446-ETICA_COMERCIO_VAREJISTA_DE_TINTAS_LTDA,2,3
SEM_PENDENCIA,95;226,21.665.917,I SEE LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\SEM_PENDENCIA\21665917-I_SEE_LTDA,2,2
COM_PENDENCIA,122;125,32.325.252,SUPER ARMAZEM GRS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\COM_PENDENCIA\32325252-SUPER_ARMAZEM_GRS_LTDA,2,2
SEM_PENDENCIA,45;150,36.113.768,V&T COMERCIO VAREJISTA DE TINTAS LTDA,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\SEM_PENDENCIA\36113768-V&T_COMERCIO_VAREJISTA_DE_TINTAS_LTDA,2,2
