classe,pasta_raiz,empresa,cnpj,pasta,qtd_arquivos,arquivos
COM_PENDENCIA,pendencias,AF DA SILVA REPRESENTACAO,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\AF DA SILVA REPRESENTACAO,2,"86-AGENCIANET.pdf, 86-ECAC.pdf"
COM_PENDENCIA,pendencias,ANW PARTICIPACOES SOCIETARIAS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\ANW PARTICIPACOES SOCIETARIAS LTDA,2,"163-AGENCIANET.pdf, 163-ECAC.pdf"
COM_PENDENCIA,pendencias,ASSOCIACAO SULAMERICANA DOS PRODUTORES DE GELATINA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\ASSOCIACAO SULAMERICANA DOS PRODUTORES DE GELATINA,2,"30-AGENCIANET.pdf, 30-ECAC.pdf"
COM_PENDENCIA,pendencias,AUTOBRAS COMERCIO DE IMPORTACAO E EXPORTACAO DE PRODUTOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\AUTOBRAS COMERCIO DE IMPORTACAO E EXPORTACAO DE PRODUTOS LTDA,2,"59-AGENCIANET.pdf, 59-ECAC.pdf"
COM_PENDENCIA,pendencias,B&F COMERCIO E SERVICO DE MATERIAIS DE CONSTRUCAO LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\B&F COMERCIO E SERVICO DE MATERIAIS DE CONSTRUCAO LTDA,2,"160-AGENCIANET.pdf, 160-ECAC.pdf"
COM_PENDENCIA,pendencias,BELEZA MARKET SERVICO ESTETICA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\BELEZA MARKET SERVICO ESTETICA LTDA,2,"27-AGENCIANET.pdf, 27-ECAC.pdf"
COM_PENDENCIA,pendencias,BRUNNA LETTIERI ATELIER LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\BRUNNA LETTIERI ATELIER LTDA,2,"39-AGENCIANET.pdf, 39-ECAC.pdf"
COM_PENDENCIA,pendencias,COELHO E MENDES COMERCIO VAREJISTA DE DOCES LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\COELHO E MENDES COMERCIO VAREJISTA DE DOCES LTDA,4,"13-AGENCIANET.pdf, 13-ECAC.pdf, 88-AGENCIANET.pdf, 88-ECAC.pdf"
COM_PENDENCIA,pendencias,COMERCIAL AVICOLA PROGRESSO LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\COMERCIAL AVICOLA PROGRESSO LTDA,2,"80-AGENCIANET.pdf, 80-ECAC.pdf"
COM_PENDENCIA,pendencias,DALMAR EMPREENDIMENTOS IMOBILIARIOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\DALMAR EMPREENDIMENTOS IMOBILIARIOS LTDA,1,71-ECAC.pdf
COM_PENDENCIA,pendencias,DAUTO TINTAS LTDA EPP,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\DAUTO TINTAS LTDA EPP,1,52-AGENCIANET.pdf
COM_PENDENCIA,pendencias,DT TINTAS COMERCIO VAREJISTA LIMITADA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\DT TINTAS COMERCIO VAREJISTA LIMITADA,7,"104-ECAC.pdf, 14-AGENCIANET.pdf, 14-ECAC.pdf, 75-AGENCIANET.pdf, 75-ECAC.pdf, 79-AGENCIANET.pdf, 79-ECAC.pdf"
COM_PENDENCIA,pendencias,EGAPLAST - ARTEFATOS E COMERCIO DE PLASTICOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\EGAPLAST - ARTEFATOS E COMERCIO DE PLASTICOS LTDA,3,"37-AGENCIANET.pdf, 37-ECAC.pdf, 61-ECAC.pdf"
COM_PENDENCIA,pendencias,EXITO CONTABILIDADE LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\EXITO CONTABILIDADE LTDA,2,"08-AGENCIANET.pdf, 08-ECAC.pdf"
COM_PENDENCIA,pendencias,GALLUS FRANGO AMERICANO E HAMBURGUERIA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\GALLUS FRANGO AMERICANO E HAMBURGUERIA LTDA,2,"35-AGENCIANET.pdf, 35-ECAC.pdf"
COM_PENDENCIA,pendencias,GUARDANAPOS DU LANCHE LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\GUARDANAPOS DU LANCHE LTDA,2,"94-AGENCIANET.pdf, 94-ECAC.pdf"
COM_PENDENCIA,pendencias,I. M. DAMASCENO MEDICA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\I. M. DAMASCENO MEDICA,5,"03-AGENCIANET.pdf, 03-ECAC.pdf, 04-AGENCIANET.pdf, 04-ECAC.pdf, 25-ECAC.pdf"
COM_PENDENCIA,pendencias,IARA LIANDRO DO NASCIMENTO COUTINHO,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\IARA LIANDRO DO NASCIMENTO COUTINHO,2,"105-AGENCIANET.pdf, 105-ECAC.pdf"
COM_PENDENCIA,pendencias,INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS SEIXAS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS SEIXAS LTDA,2,"41-AGENCIANET.pdf, 41-ECAC.pdf"
COM_PENDENCIA,pendencias,JD SERVICOS E TRANSPORTE LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\JD SERVICOS E TRANSPORTE LTDA,2,"76-AGENCIANET.pdf, 76-ECAC.pdf"
COM_PENDENCIA,pendencias,JPG - PRODUTOS FUNCIONAIS E NUTRICIONAIS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\JPG - PRODUTOS FUNCIONAIS E NUTRICIONAIS LTDA,8,"711-AGENCIANET.pdf, 711-ECAC.pdf, 712-ECAC.pdf, 713-ECAC.pdf, 81-ECAC.pdf, 82-ECAC.pdf, 90-ECAC.pdf, 98-ECAC.pdf"
COM_PENDENCIA,pendencias,MERCADO DAS TINTAS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\MERCADO DAS TINTAS LTDA,5,"67-AGENCIANET.pdf, 67-ECAC.pdf, 68-ECAC.pdf, 69-AGENCIANET.pdf, 69-ECAC.pdf"
COM_PENDENCIA,pendencias,MERCADO RPG MINIATURAS E ACESSORIOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\MERCADO RPG MINIATURAS E ACESSORIOS LTDA,4,"12-ECAC.pdf, 184-AGENCIANET.pdf, 190-AGENCIANET.pdf, 190-ECAC.pdf"
COM_PENDENCIA,pendencias,MESOCLINIC ESTETICA AVANCADA DE COSMETICOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\MESOCLINIC ESTETICA AVANCADA DE COSMETICOS LTDA,2,"48-AGENCIANET.pdf, 48-ECAC.pdf"
COM_PENDENCIA,pendencias,SERVICOS MEDICOS TJ LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\SERVICOS MEDICOS TJ LTDA,2,"183-AGENCIANET.pdf, 183-ECAC.pdf"
COM_PENDENCIA,pendencias,SO TEMPERO AGROINDUSTRIA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\SO TEMPERO AGROINDUSTRIA LTDA,1,20-ECAC.pdf
COM_PENDENCIA,pendencias,SUPER ARMAZEM GRS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\SUPER ARMAZEM GRS LTDA,2,"122-ECAC.pdf, 125-ECAC.pdf"
COM_PENDENCIA,pendencias,THE MINAS GASTRO BAR LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\THE MINAS GASTRO BAR LTDA,2,"21-AGENCIANET.pdf, 21-ECAC.pdf"
COM_PENDENCIA,pendencias,UNICA ATACADISTA DE TINTAS E COMPLEMENTOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\pendencias\UNICA ATACADISTA DE TINTAS E COMPLEMENTOS LTDA,2,"46-AGENCIANET.pdf, 46-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,"2B IMPORTACAO, EXPORTACAO E SERVICOS LTDA",,"C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\2B IMPORTACAO, EXPORTACAO E SERVICOS LTDA",1,89-ECAC.pdf
SEM_PENDENCIA,sem_pendencias,ANTONIO MARCOS RIBEIRO 149DF-ME,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\ANTONIO MARCOS RIBEIRO 149DF-ME,1,211-AGENCIANET.pdf
SEM_PENDENCIA,sem_pendencias,ANW EMPREENDIMENTOS IMOBILIARIOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\ANW EMPREENDIMENTOS IMOBILIARIOS LTDA,2,"164-AGENCIANET.pdf, 164-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,AP ENGENHARIA E CONSULTORIA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\AP ENGENHARIA E CONSULTORIA LTDA,2,"716-AGENCIANET.pdf, 716-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,AQB HOLDINGS & INVESTIMENTOS GESTORA DE PARTICIPACOES SOCIEDADE,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\AQB HOLDINGS & INVESTIMENTOS GESTORA DE PARTICIPACOES SOCIEDADE,1,22-ECAC.pdf
SEM_PENDENCIA,sem_pendencias,ART FORT COMERCIO E IMPORTACAO LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\ART FORT COMERCIO E IMPORTACAO LTDA,2,"132-ECAC.pdf, 134-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,BAIFER DISTRIBUIDORA DE FERRAMENTAS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BAIFER DISTRIBUIDORA DE FERRAMENTAS LTDA,2,"11-AGENCIANET.pdf, 11-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,BELEZA MARKET COSMETICOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BELEZA MARKET COSMETICOS LTDA,1,91-AGENCIANET.pdf
SEM_PENDENCIA,sem_pendencias,BEM MAIS TECNOLOGIA E SEGURANCA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BEM MAIS TECNOLOGIA E SEGURANCA LTDA,1,168-ECAC.pdf
SEM_PENDENCIA,sem_pendencias,BR BRAZ IMPORTADORA E DISTRIBUIDORA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BR BRAZ IMPORTADORA E DISTRIBUIDORA LTDA,2,"38-AGENCIANET.pdf, 38-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,BR IMPORTACAO EXPORTACAO CONSULTORIA E ASSESSORIA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BR IMPORTACAO EXPORTACAO CONSULTORIA E ASSESSORIA LTDA,1,167-ECAC.pdf
SEM_PENDENCIA,sem_pendencias,BUFFET CHA DAS DUAS SERVICOS E LOCACAO PARA EVENTOS LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\BUFFET CHA DAS DUAS SERVICOS E LOCACAO PARA EVENTOS LTDA,2,"87-AGENCIANET.pdf, 87-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,CENTRO MEDICO ESPECIALIZADO TJJ LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\CENTRO MEDICO ESPECIALIZADO TJJ LTDA,2,"715-AGENCIANET.pdf, 715-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,CERGILIO & CASTRO AUTOCENTER LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\CERGILIO & CASTRO AUTOCENTER LTDA,2,"133-AGENCIANET.pdf, 133-ECAC.pdf"
SEM_PENDENCIA,sem_pendencias,CUSTOMS IMPORTACAO EXPORTACAO CONSULTORIA E ASSESSORIA LTDA,,C:\Users\trind\Downloads\2. RELAÇÃO DE DEBITOS\2. RELAÇÃO DE DEBITOS\07-2026\sem_pendencias\CUSTOMS IMPORTACAO EXPORTACAO CONSULTORIA E ASSESSORIA LTDA,1,97-ECAC.pdf
